date,ticker,open,high,low,close,adjClose,volume,return,relative_trading_day,film,event_stage,announced_event_date
2021-08-18,SPY,442.9599914550781,444.6300048828125,438.9200134277344,439.17999267578125,410.4710693359375,89351900,-0.01094516051394645,-3,Spider-Man: No Way Home,Official teaser trailer,2021-08-23
2021-08-19,SPY,436.2699890136719,441.1400146484375,436.1199951171875,439.8599853515625,411.1066589355469,92812200,0.0015484394567384374,-2,Spider-Man: No Way Home,Official teaser trailer,2021-08-23
2021-08-20,SPY,440.2300109863281,443.7099914550781,439.7099914550781,443.3599853515625,414.37786865234375,72008700,0.007957082780577718,-1,Spider-Man: No Way Home,Official teaser trailer,2021-08-23
2021-08-23,SPY,445.1600036621094,448.2300109863281,443.44000244140625,447.260009765625,418.02294921875,54973000,0.008796513622363333,0,Spider-Man: No Way Home,Official teaser trailer,2021-08-23
2021-08-24,SPY,447.9700012207031,448.5400085449219,447.4200134277344,447.9700012207031,418.68658447265625,38744700,0.0015875569873533557,1,Spider-Man: No Way Home,Official teaser trailer,2021-08-23
2021-08-25,SPY,448.1700134277344,449.4599914550781,447.7699890136719,448.9100036621094,419.56512451171875,40529700,0.0020983238337313193,2,Spider-Man: No Way Home,Official teaser trailer,2021-08-23
2021-08-26,SPY,448.6099853515625,448.8599853515625,446.1600036621094,446.260009765625,417.08837890625,57829600,-0.0059031255477945965,3,Spider-Man: No Way Home,Official teaser trailer,2021-08-23
2021-08-27,SPY,447.1199951171875,450.6499938964844,447.05999755859375,450.25,420.8175048828125,77235100,0.008940853222383138,4,Spider-Man: No Way Home,Official teaser trailer,2021-08-23
2021-08-30,SPY,450.9700012207031,453.07000732421875,450.7099914550781,452.2300109863281,422.6680603027344,48357400,0.004397524814081066,5,Spider-Man: No Way Home,Official teaser trailer,2021-08-23
2021-11-09,SONY,24.753999710083008,24.753999710083008,24.3439998626709,24.493999481201172,23.948272705078125,2623500,-0.007134186424478051,-5,Spider-Man: No Way Home,Official trailer,2021-11-16
2021-11-10,SONY,24.368000030517578,24.57200050354004,24.243999481201172,24.290000915527344,23.748815536499023,3997500,-0.008328666164587606,-4,Spider-Man: No Way Home,Official trailer,2021-11-16
2021-11-11,SONY,24.416000366210938,24.417999267578125,24.163999557495117,24.200000762939453,23.66082191467285,2122000,-0.0037051793884598228,-3,Spider-Man: No Way Home,Official trailer,2021-11-16
2021-11-12,SONY,24.45400047302246,24.63800048828125,24.378000259399414,24.579999923706055,24.032358169555664,2293500,0.015702592928625636,-2,Spider-Man: No Way Home,Official trailer,2021-11-16
2021-11-15,SONY,24.700000762939453,24.790000915527344,24.554000854492188,24.59000015258789,24.042133331298828,1546000,0.00040675000240075754,-1,Spider-Man: No Way Home,Official trailer,2021-11-16
2021-11-16,SONY,24.8799991607666,25.086000442504883,24.841999053955078,25.016000747680664,24.458642959594727,2567000,0.01732415433174861,0,Spider-Man: No Way Home,Official trailer,2021-11-16
2021-11-17,SONY,24.854000091552734,24.920000076293945,24.718000411987305,24.84600067138672,24.292428970336914,1579500,-0.006795715916553258,1,Spider-Man: No Way Home,Official trailer,2021-11-16
2021-11-18,SONY,25.06999969482422,25.077999114990234,24.802000045776367,25.031999588012695,24.474281311035156,2974000,0.007485967785284098,2,Spider-Man: No Way Home,Official trailer,2021-11-16
2021-11-19,SONY,25.06800079345703,25.152000427246094,24.974000930786133,25.04800033569336,24.48992919921875,1759000,0.0006393604774224126,3,Spider-Man: No Way Home,Official trailer,2021-11-16
2021-11-22,SONY,25.04400062561035,25.04400062561035,24.468000411987305,24.479999542236328,23.93458366394043,2337500,-0.022676485944926106,4,Spider-Man: No Way Home,Official trailer,2021-11-16
