date,ticker,sector,sentiment,sector_augmented_sentiment,observed_news,article_count,reliability,usable_sentiment_lag1,usable_reliability_lag1
2020-07-31,INTC,Tech,0.26335,0.26335,1,2.0,0.30657359638272924,0.056544444444444446,0.5
2020-08-03,INTC,Tech,0.17405,0.17405,1,4.0,0.4491222008519636,0.26335,0.30657359638272924
2020-08-04,INTC,Tech,0.12177272727272728,0.07251818181818183,1,11.0,0.5,0.17405,0.4491222008519636
2020-08-05,INTC,Tech,0.05227142857142858,0.05227142857142858,1,7.0,0.5,0.12177272727272728,0.5
2020-08-06,INTC,Tech,-0.024300000000000016,-0.024300000000000016,1,4.0,0.4491222008519636,0.05227142857142858,0.5
2020-08-07,INTC,Tech,0.0,0.0,1,2.0,0.30657359638272924,-0.024300000000000016,0.4491222008519636
2020-08-10,INTC,Tech,0.2345,0.2345,1,4.0,0.4491222008519636,0.0,0.30657359638272924
2020-08-11,INTC,Tech,0.255225,0.255225,1,4.0,0.4491222008519636,0.2345,0.4491222008519636
2020-08-12,INTC,Tech,-0.21265,-0.21265,1,4.0,0.4491222008519636,0.255225,0.4491222008519636
2020-08-13,INTC,Tech,0.06694285714285715,0.10404285714285713,1,7.0,0.5,-0.21265,0.4491222008519636
2020-08-14,INTC,Tech,0.28773333333333334,0.28773333333333334,1,3.0,0.3868528072345416,0.06694285714285715,0.5
2020-08-17,INTC,Tech,-0.22503333333333334,-0.22503333333333334,1,3.0,0.3868528072345416,0.28773333333333334,0.3868528072345416
2020-08-18,INTC,Tech,-0.03294999999999999,-0.093725,1,4.0,0.4491222008519636,-0.22503333333333334,0.3868528072345416
2020-08-19,INTC,Tech,0.0,0.0,0,0.0,0.0,-0.03294999999999999,0.4491222008519636
2020-08-20,INTC,Tech,0.04404444444444445,0.05937222222222222,1,18.0,0.5,0.0,0.0
2020-08-21,INTC,Tech,-0.10606666666666666,-0.10606666666666666,1,3.0,0.3868528072345416,0.04404444444444445,0.5
2020-08-24,INTC,Tech,-0.14986666666666668,-0.08663333333333333,1,6.0,0.5,-0.10606666666666666,0.3868528072345416
2020-08-25,INTC,Tech,0.05562499999999998,0.05562499999999998,1,4.0,0.4491222008519636,-0.14986666666666668,0.5
2020-08-26,INTC,Tech,-0.1909,-0.1909,1,2.0,0.30657359638272924,0.05562499999999998,0.4491222008519636
2020-08-27,INTC,Tech,0.2627333333333333,0.3151,1,3.0,0.3868528072345416,-0.1909,0.30657359638272924
2020-08-28,INTC,Tech,0.24766666666666667,0.24766666666666667,1,3.0,0.3868528072345416,0.2627333333333333,0.3868528072345416
2020-08-31,INTC,Tech,0.22010000000000002,0.22010000000000002,1,7.0,0.5,0.24766666666666667,0.3868528072345416
2020-09-01,INTC,Tech,-0.11986666666666666,-0.11986666666666666,1,3.0,0.3868528072345416,0.22010000000000002,0.5
2020-09-02,INTC,Tech,0.16634285714285715,0.16634285714285715,1,7.0,0.5,-0.11986666666666666,0.3868528072345416
2020-09-03,INTC,Tech,0.0,0.0,0,0.0,0.0,0.16634285714285715,0.5
2020-09-04,INTC,Tech,0.4576,0.4576,1,1.0,0.1934264036172708,0.0,0.0
2020-09-08,INTC,Tech,0.268575,0.268575,1,4.0,0.4491222008519636,0.4576,0.1934264036172708
2020-09-09,INTC,Tech,0.4756666666666667,0.4371666666666667,1,3.0,0.3868528072345416,0.268575,0.4491222008519636
