date,sector,sentiment,observed_only_sentiment,coverage_rate,article_count,ticker_count,usable_sentiment_lag1
2021-07-15,Consumer,0.04116083333333333,0.04116083333333333,1.0,21.0,5,0.132909
2021-07-16,Consumer,0.09246333333333334,0.15410555555555558,0.6,15.0,5,0.04116083333333333
2021-07-19,Consumer,0.020652727272727267,0.020652727272727267,1.0,32.0,5,0.09246333333333334
2021-07-20,Consumer,0.11416400000000002,0.14270500000000003,0.8,12.0,5,0.020652727272727267
2021-07-21,Consumer,0.10402625000000001,0.10402625000000001,1.0,22.0,5,0.11416400000000002
2021-07-22,Consumer,0.06784400000000002,0.08480500000000002,0.8,18.0,5,0.10402625000000001
2021-07-23,Consumer,0.11201699999999999,0.14002124999999999,0.8,13.0,5,0.06784400000000002
2021-07-26,Consumer,0.06868300000000001,0.08585375,0.8,21.0,5,0.11201699999999999
2021-07-27,Consumer,0.11734333333333333,0.14667916666666667,0.8,21.0,5,0.06868300000000001
2021-07-28,Consumer,0.16672666666666666,0.20840833333333333,0.8,21.0,5,0.11734333333333333
2021-07-29,Consumer,0.2069392380952381,0.2069392380952381,1.0,25.0,5,0.16672666666666666
2021-07-30,Consumer,0.041459523809523814,0.041459523809523814,1.0,19.0,5,0.2069392380952381
2021-08-02,Consumer,0.21767757575757574,0.27209696969696967,0.8,17.0,5,0.041459523809523814
2021-08-03,Consumer,0.09610571428571428,0.12013214285714285,0.8,17.0,5,0.21767757575757574
2021-08-04,Consumer,0.03111,0.0388875,0.8,14.0,5,0.09610571428571428
2021-08-05,Consumer,0.27296,0.27296,1.0,13.0,5,0.03111
2021-08-06,Consumer,0.11432000000000002,0.14290000000000003,0.8,12.0,5,0.27296
2021-08-09,Consumer,0.12404181818181818,0.12404181818181818,1.0,23.0,5,0.11432000000000002
2021-08-10,Consumer,0.03614,0.045175,0.8,13.0,5,0.12404181818181818
2021-08-11,Consumer,0.04983,0.062287499999999996,0.8,10.0,5,0.03614
2021-08-12,Consumer,0.11357583333333332,0.11357583333333332,1.0,28.0,5,0.04983
2021-08-13,Consumer,0.3145711842105263,0.3145711842105263,1.0,35.0,5,0.11357583333333332
2021-08-16,Consumer,0.06668973684210526,0.06668973684210526,1.0,39.0,5,0.3145711842105263
2021-08-17,Consumer,0.06993644444444444,0.11656074074074074,0.6,32.0,5,0.06668973684210526
2021-08-18,Consumer,0.0843995,0.105499375,0.8,17.0,5,0.06993644444444444
2021-08-19,Consumer,0.10183666666666666,0.16972777777777778,0.6,11.0,5,0.0843995
2021-08-20,Consumer,0.140588,0.175735,0.8,13.0,5,0.10183666666666666
2021-08-23,Consumer,0.031409285714285716,0.031409285714285716,1.0,24.0,5,0.140588
2021-08-24,Consumer,0.019065714285714287,0.023832142857142857,0.8,13.0,5,0.031409285714285716
2021-08-25,Consumer,0.16428366666666666,0.2053545833333333,0.8,22.0,5,0.019065714285714287
2021-08-26,Consumer,0.12436050000000001,0.12436050000000001,1.0,19.0,5,0.16428366666666666
2021-08-27,Consumer,0.05819272727272727,0.09698787878787879,0.6,15.0,5,0.12436050000000001
2021-08-30,Consumer,0.15870595238095236,0.15870595238095236,1.0,21.0,5,0.05819272727272727
2021-08-31,Consumer,0.06124047619047619,0.06124047619047619,1.0,21.0,5,0.15870595238095236
2021-09-01,Consumer,0.24788095238095242,0.24788095238095242,1.0,16.0,5,0.06124047619047619
2021-09-02,Consumer,-0.011259333333333338,-0.014074166666666672,0.8,14.0,5,0.24788095238095242
2021-09-03,Consumer,0.22876666666666665,0.2859583333333333,0.8,15.0,5,-0.011259333333333338
2021-09-07,Consumer,0.18685000000000002,0.18685000000000002,1.0,26.0,5,0.22876666666666665
2021-09-08,Consumer,0.103635,0.103635,1.0,22.0,5,0.18685000000000002
2021-09-09,Consumer,0.06483666666666667,0.06483666666666667,1.0,17.0,5,0.103635
2021-09-10,Consumer,0.15092200000000003,0.18865250000000003,0.8,17.0,5,0.06483666666666667
2021-09-13,Consumer,0.1336848051948052,0.1336848051948052,1.0,27.0,5,0.15092200000000003
2021-09-14,Consumer,0.15592833333333334,0.15592833333333334,1.0,17.0,5,0.1336848051948052
2021-09-15,Consumer,0.02382,0.02382,1.0,25.0,5,0.15592833333333334
2021-09-16,Consumer,-0.022214,-0.022214,1.0,15.0,5,0.02382
2021-09-17,Consumer,0.20521333333333333,0.25651666666666667,0.8,14.0,5,-0.022214
2021-09-20,Consumer,0.1654626153846154,0.1654626153846154,1.0,33.0,5,0.20521333333333333
2021-09-21,Consumer,0.11219888888888889,0.11219888888888889,1.0,25.0,5,0.1654626153846154
2021-09-22,Consumer,0.24298333333333333,0.24298333333333333,1.0,15.0,5,0.11219888888888889
2021-09-23,Consumer,0.2265595238095238,0.2265595238095238,1.0,25.0,5,0.24298333333333333
2021-09-24,Consumer,0.026449249999999997,0.033061562499999995,0.8,30.0,5,0.2265595238095238
2021-09-27,Consumer,0.1272409523809524,0.1272409523809524,1.0,33.0,5,0.026449249999999997
2021-09-28,Consumer,0.10505333333333333,0.10505333333333333,1.0,16.0,5,0.1272409523809524
2021-09-29,Consumer,0.18826900000000002,0.23533625000000002,0.8,11.0,5,0.10505333333333333
2021-09-30,Consumer,0.08550666666666666,0.08550666666666666,1.0,18.0,5,0.18826900000000002
2021-10-01,Consumer,0.1485024761904762,0.18562809523809526,0.8,16.0,5,0.08550666666666666
2021-10-04,Consumer,0.1902194761904762,0.1902194761904762,1.0,28.0,5,0.1485024761904762
2021-10-05,Consumer,-0.021574666666666666,-0.021574666666666666,1.0,14.0,5,0.1902194761904762
2021-10-06,Consumer,0.166974,0.166974,1.0,27.0,5,-0.021574666666666666
2021-10-07,Consumer,0.021430000000000005,0.026787500000000006,0.8,8.0,5,0.166974
2021-10-08,Consumer,0.07654999999999998,0.09568749999999998,0.8,13.0,5,0.021430000000000005
2021-10-11,Consumer,0.10502971861471862,0.10502971861471862,1.0,27.0,5,0.07654999999999998
2021-10-12,Consumer,0.18222149999999998,0.227776875,0.8,15.0,5,0.10502971861471862
2021-10-13,Consumer,0.06412200000000001,0.08015250000000002,0.8,13.0,5,0.18222149999999998
2021-10-14,Consumer,0.20767023809523807,0.2595877976190476,0.8,16.0,5,0.06412200000000001
2021-10-15,Consumer,0.26034666666666667,0.43391111111111114,0.6,6.0,5,0.20767023809523807
2021-10-18,Consumer,0.06171984848484848,0.0771498106060606,0.8,30.0,5,0.26034666666666667
2021-10-19,Consumer,0.035437916666666666,0.044297395833333336,0.8,29.0,5,0.06171984848484848
2021-10-20,Consumer,0.18306,0.228825,0.8,8.0,5,0.035437916666666666
2021-10-21,Consumer,-0.004502999999999996,-0.004502999999999996,1.0,29.0,5,0.18306
2021-10-22,Consumer,0.12199333333333333,0.12199333333333333,1.0,15.0,5,-0.004502999999999996
2021-10-25,Consumer,0.11121433333333333,0.11121433333333333,1.0,23.0,5,0.12199333333333333
2021-10-26,Consumer,0.023364000000000003,0.023364000000000003,1.0,17.0,5,0.11121433333333333
2021-10-27,Consumer,0.21217083333333334,0.21217083333333334,1.0,16.0,5,0.023364000000000003
2021-10-28,Consumer,0.012248333333333328,0.01531041666666666,0.8,19.0,5,0.21217083333333334
2021-10-29,Consumer,0.0688025,0.086003125,0.8,28.0,5,0.012248333333333328
2021-11-01,Consumer,0.10802833333333332,0.10802833333333332,1.0,17.0,5,0.0688025
2021-11-02,Consumer,0.193616,0.193616,1.0,24.0,5,0.10802833333333332
2021-11-03,Consumer,0.17677380952380953,0.17677380952380953,1.0,20.0,5,0.193616
2021-11-04,Consumer,0.10844666666666666,0.10844666666666666,1.0,11.0,5,0.17677380952380953
2021-11-05,Consumer,0.27509,0.27509,1.0,13.0,5,0.10844666666666666
2021-11-08,Consumer,0.11407566666666666,0.11407566666666666,1.0,20.0,5,0.27509
2021-11-09,Consumer,0.10218,0.127725,0.8,9.0,5,0.11407566666666666
2021-11-10,Consumer,0.13106410256410256,0.13106410256410256,1.0,26.0,5,0.10218
2021-11-11,Consumer,0.030333600000000006,0.030333600000000006,1.0,35.0,5,0.13106410256410256
2021-11-12,Consumer,-0.015451428571428578,-0.015451428571428578,1.0,17.0,5,0.030333600000000006
2021-11-15,Consumer,-0.013732807017543851,-0.013732807017543851,1.0,32.0,5,-0.015451428571428578
2021-11-16,Consumer,0.11924076086956521,0.1490509510869565,0.8,34.0,5,-0.013732807017543851
2021-11-17,Consumer,0.2955470476190476,0.2955470476190476,1.0,30.0,5,0.11924076086956521
2021-11-18,Consumer,0.13912428571428567,0.13912428571428567,1.0,29.0,5,0.2955470476190476
2021-11-19,Consumer,0.09323133333333333,0.09323133333333333,1.0,21.0,5,0.13912428571428567
2021-11-22,Consumer,0.11859752380952379,0.11859752380952379,1.0,26.0,5,0.09323133333333333
2021-11-23,Consumer,0.12491166666666667,0.15613958333333333,0.8,13.0,5,0.11859752380952379
2021-11-24,Consumer,0.05358666666666666,0.06698333333333333,0.8,9.0,5,0.12491166666666667
2021-11-26,Consumer,0.27336733333333335,0.27336733333333335,1.0,18.0,5,0.05358666666666666
2021-11-29,Consumer,0.04122575757575757,0.04122575757575757,1.0,23.0,5,0.27336733333333335
